                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3215,                0.93247,                 1.1483,                0.77598,                0.72778,                0.71991,                0.39256,                 2.1695,                 1.4404,                  1.838,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.2814,                0.92963,                 1.1403,                0.75033,                0.74286,                0.71109,                0.40139,                  1.985,                 1.3479,                 1.7264,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.2843,                0.90332,                 1.1248,                0.73593,                0.76429,                0.72526,                0.42256,                 1.9847,                 1.3267,                 1.6295,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.2638,                0.88904,                 1.1176,                0.73892,                0.77789,                0.73156,                0.41329,                 2.0538,                 1.3937,                 1.7889,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.2519,                 0.8719,                 1.1254,                0.80596,                0.72143,                0.71824,                0.39183,                 2.1072,                 1.3576,                 1.8476,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.2826,                   0.86,                 1.1116,                0.79027,                   0.75,                0.76178,                 0.4216,                 2.1274,                   1.23,                 1.8831,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.2398,                0.85548,                 1.1158,                0.76616,                0.80516,                0.77257,                0.42924,                 1.9945,                 1.2098,                  1.796,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.2234,                0.85499,                 1.1036,                0.72634,                0.77088,                0.72347,                0.41641,                 2.0783,                 1.3531,                 1.7823,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.1778,                0.79875,                 1.0905,                0.73785,                0.76429,                0.72646,                  0.425,                 1.9719,                 1.4063,                 1.7233,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.1602,                0.79544,                 1.0838,                 0.7165,                   0.75,                0.70293,                0.40369,                 2.0876,                 1.3994,                 1.8474,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.1674,                0.80307,                  1.081,                0.79016,                0.77857,                0.74215,                0.45087,                 1.9319,                 1.3149,                 1.6483,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.1261,                0.77366,                  1.052,                0.74675,                0.75714,                0.71894,                0.40237,                 2.0672,                 1.4424,                 1.7874,             0.00094085,             0.00094085,             0.00094085
                     46,                  1.168,                0.79668,                 1.0808,                0.71146,                0.76429,                0.69087,                0.38641,                 2.0217,                 1.4451,                 1.7683,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.1362,                0.76304,                 1.0782,                0.71668,                0.76939,                0.71753,                0.40128,                 2.0035,                 1.3778,                 1.6944,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.1047,                0.75244,                 1.0485,                0.68159,                0.77143,                0.69252,                0.39459,                 2.0038,                 1.3229,                 1.7809,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.1019,                0.73328,                 1.0528,                0.73544,                0.78571,                0.72281,                0.40127,                 2.0294,                 1.2959,                 1.8914,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.0897,                0.73106,                 1.0439,                0.77068,                0.72143,                 0.6913,                 0.3794,                 2.1125,                 1.4771,                 1.9152,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.1497,                0.75832,                 1.0457,                0.73069,                   0.75,                0.71704,                0.39191,                 2.1321,                 1.5275,                  1.858,             0.00084184,             0.00084184,             0.00084184
                     52,                  1.124,                0.74341,                 1.0379,                0.73898,                0.76429,                0.73268,                0.41731,                 1.9949,                 1.2755,                 1.7645,             0.00082533,             0.00082533,             0.00082533
                     53,                  1.061,                0.70651,                 1.0193,                0.72617,                0.71429,                0.71165,                0.39625,                 2.0951,                 1.3828,                 1.8445,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.0502,                0.71623,                 1.0105,                0.78587,                0.75714,                0.74352,                0.40525,                 2.0037,                 1.3173,                 1.8018,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.0557,                0.69838,                 1.0233,                0.75336,                0.76429,                0.73524,                0.42175,                 2.0417,                 1.3244,                 1.7969,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.0354,                0.69846,                 1.0076,                0.73359,                0.77857,                0.74322,                0.42984,                 2.0164,                 1.1802,                 1.8394,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.0524,                0.70225,                 1.0094,                0.72191,                0.78571,                0.72958,                0.42542,                 1.9624,                 1.1897,                 1.8238,             0.00074282,             0.00074282,             0.00074282
                     58,                0.99767,                0.67529,                0.99601,                0.69851,                0.76429,                0.71634,                0.42221,                  1.989,                 1.2858,                 1.8715,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.0016,                0.66481,                0.99195,                0.70001,                0.77143,                0.73358,                 0.4246,                 2.0486,                 1.2957,                 1.8417,             0.00070981,             0.00070981,             0.00070981
                     60,                 0.9935,                0.66078,                 1.0013,                0.70997,                0.78571,                0.72598,                0.41778,                 2.1412,                 1.3049,                 2.0358,             0.00069331,             0.00069331,             0.00069331
                     61,                0.97019,                0.66902,                0.98555,                0.75547,                0.73571,                0.72922,                 0.4241,                 2.0838,                 1.3363,                  1.986,              0.0006768,              0.0006768,              0.0006768
                     62,                0.96605,                0.66081,                0.98297,                  0.719,                 0.7788,                0.70904,                0.40439,                 2.1326,                  1.384,                 1.9324,              0.0006603,              0.0006603,              0.0006603
                     63,                0.96896,                0.64809,                0.97857,                0.72546,                0.78571,                0.73715,                 0.4433,                 2.1365,                 1.1999,                 2.1069,              0.0006438,              0.0006438,              0.0006438
                     64,                0.95015,                0.64261,                0.97547,                0.71595,                0.80714,                0.75168,                0.44089,                 2.0093,                 1.2389,                 1.8683,             0.00062729,             0.00062729,             0.00062729
                     65,                0.90801,                0.62879,                0.97004,                0.75131,                0.77857,                0.72584,                 0.4166,                 2.0565,                 1.2834,                 1.9371,             0.00061079,             0.00061079,             0.00061079
                     66,                0.90518,                0.62837,                0.95841,                0.76309,                0.73571,                0.73205,                0.41678,                 2.0385,                 1.3359,                 1.8482,             0.00059429,             0.00059429,             0.00059429
                     67,                0.90353,                0.61216,                0.95501,                0.75306,                0.76881,                0.74733,                0.42901,                 1.9509,                 1.2652,                 1.7904,             0.00057778,             0.00057778,             0.00057778
                     68,                0.89883,                0.62625,                0.96525,                0.73131,                0.78571,                0.72881,                 0.4345,                 1.9479,                  1.302,                 1.7913,             0.00056128,             0.00056128,             0.00056128
                     69,                0.90425,                   0.62,                0.95766,                0.73382,                0.79286,                0.74629,                0.41286,                 2.0202,                 1.3285,                  1.869,             0.00054478,             0.00054478,             0.00054478
                     70,                0.91194,                0.61473,                0.97427,                0.75678,                0.77179,                0.72739,                0.42689,                 2.0005,                 1.3992,                 1.9163,             0.00052827,             0.00052827,             0.00052827
                     71,                0.89569,                0.60415,                0.95495,                0.78801,                0.79286,                0.73794,                0.42265,                 2.0026,                 1.3703,                 1.9214,             0.00051177,             0.00051177,             0.00051177
                     72,                 0.9181,                0.61335,                0.96313,                0.76419,                 0.7571,                0.74411,                0.42928,                 1.9655,                 1.3221,                 1.7926,             0.00049527,             0.00049527,             0.00049527
                     73,                0.87083,                0.58087,                0.94001,                0.75382,                0.78571,                0.75049,                0.44409,                 1.9851,                 1.3217,                 1.8431,             0.00047876,             0.00047876,             0.00047876
                     74,                0.85523,                0.57949,                0.95244,                0.73381,                0.75714,                0.72629,                0.43036,                 2.0226,                  1.408,                 1.8935,             0.00046226,             0.00046226,             0.00046226
